loss,val_loss
1.9627821,1.800189
1.6929889,1.5636673
1.4506046,1.2410594
1.1169153,1.0236995
0.96734685,0.9198651
0.889779,0.8596314
0.83814186,0.82200754
0.80655473,0.7975941
0.78159326,0.7751636
0.76448864,0.7629401
0.75024617,0.7484213
0.7387414,0.735793
0.72700524,0.7280275
0.7187295,0.7222428
0.7097375,0.71343553
0.70169044,0.70792246
0.69651854,0.700325
0.68977726,0.6938084
0.684348,0.6895176
0.67844343,0.6875701
0.6762724,0.683952
0.66990125,0.6778432
0.6667613,0.6739828
0.6630885,0.6703213
0.6590926,0.67134064
0.65614265,0.66225827
0.6531936,0.6607326
0.6514479,0.6591338
0.64726853,0.65642023
0.6448092,0.654144
0.6418205,0.65116835
0.6406187,0.65418726
0.638247,0.64533323
0.6356943,0.64707446
0.6336804,0.649188
0.6315796,0.6434382
0.6294549,0.64224756
0.6289224,0.6383034
0.6277409,0.63770914
0.6259797,0.6388357
0.6243949,0.6367429
0.6223156,0.63361394
0.6198413,0.6368661
0.62085867,0.6335505
0.61809194,0.63527983
0.617312,0.6307218
0.6170326,0.6324617
0.615647,0.6300205
0.6149938,0.63359606
0.6138905,0.6270588
0.611975,0.6252285
0.6123956,0.62617135
0.6093711,0.625804
0.6102297,0.6247662
0.6087629,0.62388265
0.6075857,0.6229836
0.60816526,0.62226486
0.60623455,0.62224454
0.605662,0.6238039
0.6049836,0.61929387
0.60518473,0.6245631
0.60472584,0.62292856
0.60325205,0.6184077
0.60217834,0.6182972
0.60258085,0.62019956
0.6013766,0.6201998
0.6010103,0.6174244
0.6007056,0.6154357
0.5993794,0.616039
0.5996968,0.6152393
0.5980409,0.6127904
0.5970842,0.6134417
0.5986016,0.6154323
0.59785634,0.6167968
0.59682184,0.617305
0.59534526,0.61616415
