loss,val_loss
9.118977,8.407907
6.3621173,4.717071
4.4405036,4.2341313
4.1259937,4.0586047
3.9763386,3.9201193
3.879714,3.8429549
3.8143494,3.7871013
3.7652075,3.7466753
3.7314203,3.7246385
3.7028687,3.6979723
3.6782992,3.674392
3.6607175,3.660561
3.6433065,3.6430616
3.629691,3.6299882
3.6163964,3.6303253
3.6102905,3.6107523
3.5995557,3.6067576
3.5878673,3.5968971
3.5822885,3.5844688
3.5739217,3.588469
3.568717,3.5759172
3.5627594,3.5810115
3.5595171,3.5762098
3.5588903,3.5648522
3.5469778,3.5632596
3.5416985,3.552634
3.535662,3.5572565
3.5309863,3.5454173
3.5269494,3.5443747
3.523403,3.5506544
3.52007,3.5409262
3.5170233,3.5402005
3.513049,3.550243
3.515455,3.5313132
3.5082173,3.5223613
3.5019,3.5196147
3.5043209,3.5395894
3.522663,3.5270905
3.5001085,3.5169573
3.4927304,3.512386
3.4902945,3.5106587
3.4943132,3.539047
3.496736,3.541239
3.4944873,3.5073657
3.4833171,3.5109575
3.4787862,3.5005114
3.4756444,3.4994256
3.4734864,3.4978712
3.4716032,3.4964116
3.4695764,3.4998372
3.4700034,3.4963264
3.4700203,3.5018454
3.4836135,3.50036
3.4726605,3.496622
3.4658542,3.5088603
3.4671261,3.4913461
3.4599948,3.4911828
3.4594464,3.484256
3.4565797,3.4845045
3.4560826,3.4860384
3.454251,3.4877381
3.4543002,3.4910445
3.4530854,3.4811192
3.451867,3.4862862
3.4564576,3.485369
3.4510338,3.4842906
3.4490678,3.481373
3.4459186,3.4810092
3.4459853,3.4809515
3.4447393,3.4793813
3.4462433,3.4836369
3.444455,3.4810953
3.443287,3.4826915
3.4407716,3.4764647
3.4407325,3.4769464
3.4392622,3.4782095
3.4369514,3.4792109
3.4372866,3.479561
3.436948,3.4764652
