loss,val_loss
6.162471,5.31917
4.8338203,4.4773498
4.2259846,4.0566745
3.9737043,3.9209638
3.8604448,3.8284252
3.7858744,3.7680376
3.7386522,3.7254727
3.701566,3.6942177
3.6708598,3.6726763
3.6540856,3.659671
3.6290443,3.6353164
3.611957,3.6246605
3.598446,3.6089823
3.5899572,3.5993085
3.581548,3.5980062
3.574452,3.5819526
3.5965583,3.5887804
3.5651255,3.5863316
3.5582933,3.5895524
3.5517714,3.5726907
3.549331,3.5656898
3.5423045,3.5797746
3.540746,3.573311
3.542062,3.5600576
3.5307024,3.5500426
3.5258887,3.5489557
3.522734,3.5476484
3.527404,3.555301
3.522034,3.5498006
3.5173624,3.5395355
3.5140688,3.5400782
3.5099525,3.5401127
3.5097344,3.537483
3.5091567,3.531576
3.5083656,3.5389342
3.5071378,3.5308394
3.5035796,3.5272186
3.4985743,3.52808
3.4992967,3.5382063
3.4977455,3.5274367
3.4994097,3.524622
3.4961257,3.5286927
3.494058,3.5223541
3.4912832,3.5202932
3.4896586,3.5251937
3.4874206,3.5193403
3.4852626,3.5191214
3.485591,3.5177112
3.4960568,3.5227566
3.4840193,3.5186372
3.4817295,3.526269
3.4853227,3.5167737
3.4808197,3.513901
3.489223,3.5196428
3.4802084,3.5159237
3.4798095,3.510873
3.4752553,3.5123243
3.4729896,3.511423
3.4742808,3.513925
3.4726083,3.5092313
3.4723904,3.5100076
3.4729679,3.5108175
3.4692369,3.5116057
3.4701827,3.5277853
3.476082,3.5092268
3.4694424,3.527868
3.46899,3.5042462
3.4766085,3.5082753
3.4724312,3.5088558
3.4664626,3.5048866
3.4618497,3.5075705
3.461021,3.5032053
3.467115,3.5127602
3.4656005,3.507574
3.4623783,3.5058715
3.4657502,3.5024302
3.460004,3.502265
3.4611175,3.50441
3.4579566,3.502222
3.4601889,3.508145
