loss,val_loss
6.437823,5.4425883
4.831234,4.3575897
4.1861973,4.0564303
3.9983385,3.945636
3.8986127,3.8659441
3.825982,3.8023415
3.7721581,3.7585154
3.7315624,3.7160025
3.6995351,3.6946414
3.672932,3.6636684
3.6514144,3.6479876
3.6321445,3.6303725
3.6157153,3.6309743
3.6035807,3.6063628
3.5921695,3.599962
3.5829313,3.5944128
3.5727735,3.5818906
3.5653174,3.5708745
3.5592532,3.5736697
3.5528138,3.56669
3.5451338,3.5630598
3.538855,3.5549974
3.5345573,3.5496688
3.529049,3.5403764
3.5245008,3.5476637
3.5222905,3.541038
3.5183659,3.5463207
3.5148394,3.5308404
3.5094974,3.5326898
3.5070193,3.5275373
3.502059,3.521323
3.5000086,3.5223608
3.4986587,3.5306864
3.5007508,3.5193279
3.4936633,3.518716
3.4896579,3.517534
3.4876266,3.5094092
3.4858813,3.5117364
3.483344,3.510434
3.4799316,3.5101385
3.4807796,3.5143933
3.477356,3.5075035
3.4754794,3.4971516
3.4714186,3.503427
3.4758322,3.5066874
3.472383,3.4969473
3.4693453,3.5060852
3.4663832,3.4949021
3.4657362,3.503878
3.465556,3.503833
3.4625235,3.4974542
3.4588645,3.494286
3.458717,3.4942331
3.4568007,3.4907115
3.457815,3.4897485
3.4548688,3.485809
3.4543352,3.489698
3.4542668,3.4904852
3.4522233,3.4852686
3.4495113,3.4880457
3.4497812,3.48214
3.4498076,3.492484
3.4474204,3.48579
3.4463832,3.4849844
3.4441977,3.4840395
3.44427,3.4890394
