loss,val_loss
6.7806063,5.7324233
5.129179,4.5670886
4.328053,4.175988
4.0653086,4.0001335
3.9446332,3.9150088
3.869387,3.8546956
3.8150878,3.8046844
3.7780385,3.7763743
3.7451375,3.7509944
3.7215593,3.724587
3.6991105,3.7056646
3.6807835,3.69078
3.6627028,3.678678
3.652223,3.6625397
3.6386304,3.6537743
3.6358585,3.6441782
3.6244621,3.638289
3.6105719,3.6284516
3.6047003,3.629779
3.597188,3.6124856
3.5968437,3.6153073
3.5908008,3.6076756
3.579096,3.6100738
3.575772,3.5980692
3.5709295,3.5951617
3.5653338,3.589161
3.5612414,3.5814183
3.562052,3.583986
3.554649,3.5832214
3.55116,3.5791657
3.5491202,3.5733032
3.545423,3.5769355
3.5465448,3.5730581
3.5402188,3.5675538
3.5375006,3.570452
3.5387244,3.5622826
3.5331929,3.5613916
3.5285308,3.5634832
3.5312092,3.5664835
3.5278304,3.5557814
3.5247033,3.5548944
3.5220127,3.550415
3.5178807,3.5459328
3.524099,3.564486
3.5195813,3.5467577
3.5121813,3.5463786
3.5172992,3.5516078
3.5136762,3.5429695
3.5090146,3.5416121
3.5065405,3.54344
3.5063221,3.5426474
3.5061078,3.5391164
3.502406,3.5391848
3.4993024,3.532347
3.4976306,3.5353508
3.495852,3.5360422
3.4957364,3.5307963
3.4950488,3.5350945
3.4932067,3.53215
3.4906352,3.5327234
3.4902513,3.530633
3.4942942,3.537371
3.49764,3.532538
3.4913168,3.5303206
3.487001,3.5262146
3.4853754,3.5244005
3.4851298,3.5264392
3.4832191,3.5243006
3.481976,3.531151
3.492763,3.525553
3.4868019,3.5239127
3.480118,3.5237775
3.4796538,3.5228288
3.477414,3.5220504
3.4774384,3.531139
3.4782643,3.5190103
3.4755628,3.5214643
3.4754138,3.5216827
3.474233,3.5161347
3.4744236,3.5263038
