loss,val_loss
6.134213,5.2830386
4.780467,4.444848
4.2109804,4.0713367
3.980543,3.9410021
3.875085,3.8410878
3.7991946,3.787433
3.7504828,3.7402763
3.7120776,3.7143598
3.6852038,3.688976
3.663415,3.6635253
3.6420732,3.6480994
3.628612,3.636456
3.6135392,3.6207948
3.6058576,3.6128554
3.5971453,3.6068757
3.5863569,3.5915623
3.5758348,3.5888834
3.5665984,3.5904758
3.5641294,3.59322
3.5582235,3.5785122
3.5568445,3.5791738
3.5494497,3.5712354
3.5443628,3.582133
3.5532017,3.56363
3.5354977,3.557369
3.5298767,3.5557034
3.5289974,3.5500274
3.5305183,3.5555115
3.5240846,3.5494576
3.525161,3.54582
3.518299,3.5404966
3.5198853,3.5559654
3.5174358,3.5405474
3.5134182,3.5411403
3.5105307,3.5390048
3.5467305,3.5412712
3.5146506,3.5470033
3.5073965,3.532209
3.5078845,3.5468712
3.5082428,3.5304427
3.5004697,3.526226
3.4983425,3.5302749
3.4960504,3.5242207
3.4957557,3.5250828
3.493768,3.5251029
3.4921508,3.5239747
3.4900217,3.5212336
3.496873,3.5301673
3.4999647,3.5232863
3.4869776,3.5198476
3.4881728,3.541214
3.4930935,3.528272
3.486203,3.5172486
3.4826505,3.5151951
3.4800022,3.5225177
3.480015,3.5152757
3.4795518,3.5191057
3.4801948,3.514944
3.4872952,3.519298
3.4791725,3.516329
3.497013,3.5273187
3.5219533,3.5747914
3.5023034,3.5207891
